Seed,Score,T2,T3,T4,T5,T6,B2,B3,B4,B5,B6,N123,N456,TAO2,TAO3,TAO4,TAO5,TAO6,TAOT,NT,TT
EQE6I211,59,0,0,1,1,0,0,0,1,2,0,0,0
7S2AE411,60,1,0,0,1,0,0,0,0,1,1,0,1
M88YR411,60,0,1,0,0,1,0,1,1,0,0,0,1
7VNH6511,59,1,0,0,1,0,1,1,0,1,0,0,0
W3MUJ611,59,0,1,0,1,0,0,1,1,1,0,0,0
YDQRL611,59,0,0,1,1,0,1,0,0,2,0,0,0
5ZOTD711,60,0,0,1,1,0,0,1,0,1,0,0,1
1QJWH811,59,0,1,0,0,1,0,0,1,0,2,0,0
YT3TAA11,59,1,0,0,1,0,0,2,0,1,0,0,0
HOEMSA11,66,0,1,1,1,0,1,0,0,2,0,0,0
96HXNB11,67,1,0,0,1,1,0,1,0,1,0,0,1
Y5ZPPC11,59,0,1,0,1,0,0,0,1,1,1,0,0
UF828D11,60,0,0,1,1,0,0,0,1,0,1,0,1
8ZPH7E11,60,0,1,0,0,1,0,1,1,0,0,0,1
L89F9E11,66,1,0,1,0,1,0,0,2,1,0,0,0
2ZHXBF11,59,0,1,0,1,0,1,0,1,0,1,0,0
R4SZIF11,59,0,1,0,1,0,0,0,2,0,1,0,0
R9XBRG11,59,0,1,0,1,0,0,1,1,0,1,0,0
7WC1QK11,66,1,0,1,0,1,0,1,0,0,2,0,0
YHV9TK11,66,0,1,1,1,0,0,2,0,1,0,0,0
34TSKM11,60,0,1,0,0,1,1,1,0,0,0,0,1
P9OBON11,59,0,1,0,1,0,0,0,0,1,2,0,0
Z9WOOO11,60,1,0,0,0,1,1,0,0,0,1,0,1
JODQSP11,59,1,0,0,1,0,0,0,0,2,1,0,0
LL2NCQ11,59,1,0,0,1,0,1,0,0,1,1,0,0
4NSEDS11,59,1,0,0,1,0,1,0,1,1,0,0,0
X6X5YS11,60,0,0,1,0,1,1,1,0,0,0,0,1
MOLXST11,59,0,0,1,1,0,0,0,0,1,2,0,0
18L7WU11,59,0,0,1,1,0,0,1,1,0,1,0,0
GB29UV11,59,1,0,0,1,0,0,0,2,0,1,0,0
UR5RYW11,60,0,0,1,0,1,1,0,0,0,1,0,1
ZIOIHX11,59,0,1,0,1,0,0,0,2,1,0,0,0
WL3ARZ11,66,1,0,1,1,0,0,0,2,0,1,0,0
O4L7R121,59,0,0,1,1,0,1,1,0,0,1,0,0
B9G8W121,66,1,1,0,1,0,0,0,2,0,1,0,0
CC21M221,60,1,0,0,1,0,1,0,0,1,0,0,1
98TV2321,66,1,0,1,1,0,0,1,0,1,1,0,0
ICPG8421,59,0,1,0,1,0,1,0,1,0,1,0,0
F1589721,60,0,1,0,0,1,0,0,2,0,0,0,1
DNYGO721,59,1,0,0,1,0,0,0,0,2,1,0,0
T2ORAA21,59,0,1,0,0,1,0,0,0,2,1,0,0
9MNCUA21,60,0,1,0,0,1,0,0,1,0,1,0,1
HAPG8C21,59,1,0,0,0,1,0,0,2,1,0,0,0
FTBEPC21,75,0,1,0,1,0,1,0,0,2,0,0,1
Z15YFF21,59,0,0,1,1,0,0,0,0,2,1,0,0
4GDMDG21,59,1,0,0,0,1,1,0,2,0,0,0,0
68ZOCH21,60,1,0,0,1,0,1,0,0,0,1,0,1
QXZREH21,59,0,0,1,1,0,1,0,0,2,0,0,0
DN99HH21,60,0,1,0,1,0,0,0,1,0,1,0,1
WOTG2J21,60,0,0,1,0,1,0,0,0,1,1,0,1
P4UQRJ21,59,1,0,0,1,0,0,0,0,1,2,0,0
8SYZIK21,60,0,0,1,1,0,1,0,0,1,0,0,1
D1GM7M21,66,1,1,0,1,0,0,0,2,0,1,0,0
SCIJJM21,59,0,1,0,0,1,0,1,0,1,1,0,0
S26J3O21,59,0,1,0,0,1,0,0,0,1,2,0,0
N94NBP21,59,0,0,1,1,0,0,0,1,1,1,0,0
49OZBP21,59,0,0,1,1,0,1,0,1,1,0,0,0
IGVYIP21,66,1,0,0,1,1,0,0,1,1,1,0,0
3T3P7R21,59,0,1,0,0,1,1,1,1,0,0,0,0
9KPSGT21,59,0,0,1,1,0,0,1,1,0,1,0,0
USHBRT21,59,1,0,0,0,1,0,0,1,0,2,0,0
IP4RGU21,59,1,0,0,0,1,2,0,0,1,0,0,0
LECFEW21,59,1,0,0,0,1,0,0,0,2,1,0,0
L8G3KW21,59,1,0,0,0,1,0,0,1,1,1,0,0
2TAXBX21,59,1,0,0,0,1,1,1,1,0,0,0,0
8KEJIX21,67,0,1,1,1,0,0,0,0,2,0,0,1
DOYQXX21,60,1,0,0,0,1,0,1,1,0,0,0,1
VB5HOY21,60,0,1,0,1,0,1,0,0,1,0,0,1
NXXUAZ21,60,0,1,0,0,1,0,1,1,0,0,0,1
IE7UB131,59,0,1,0,1,0,0,0,1,1,1,0,0
XWUHE331,59,0,1,0,0,1,1,0,1,0,1,0,0
TUJY4631,59,1,0,0,1,0,0,0,0,2,1,0,0
C6OFH631,59,0,0,1,1,0,1,0,0,2,0,0,0
LFLEU831,59,0,1,0,0,1,0,0,0,2,1,0,0
XNGHD931,66,1,1,0,0,1,1,0,1,1,0,0,0
8LTDK931,60,1,0,0,1,0,0,0,1,0,1,0,1
1CLFAA31,59,0,1,0,1,0,0,2,1,0,0,0,0
WRCJZB31,60,0,0,1,0,1,0,0,0,1,1,0,1
LUX6EG31,59,1,0,0,0,1,0,0,1,1,1,0,0
MHNNBH31,82,1,0,1,1,0,1,1,1,0,0,0,1
ZFI1TH31,59,1,0,0,1,0,2,0,0,1,0,0,0
QBS8AK31,59,0,0,1,0,1,0,0,2,0,1,0,0
RZKQHK31,59,1,0,0,1,0,2,0,0,0,1,0,0
6JJNJL31,59,0,1,0,0,1,0,0,2,1,0,0,0
VVB78M31,74,1,0,0,0,1,1,1,0,2,0,0,0
UAQTDM31,59,0,1,0,1,0,0,1,0,2,0,0,0
GAJWYM31,59,0,0,1,1,0,0,0,1,2,0,0,0
9936IN31,59,1,0,0,0,1,0,1,1,0,1,0,0
U5F9XN31,59,0,1,0,1,0,0,0,1,1,1,0,0
DSOJTO31,75,1,0,0,0,1,1,0,1,1,0,0,1
T5MK8R31,59,1,0,0,1,0,0,0,0,2,1,0,0
AMVEHR31,60,1,0,0,0,1,1,0,1,0,0,0,1
8QT8DS31,60,0,1,0,1,0,0,1,0,1,0,0,1
F78UOU31,59,0,0,1,0,1,1,0,1,0,1,0,0
3FLOWU31,59,0,1,0,1,0,1,1,1,0,0,0,0
ANUAXY31,61,1,0,0,1,0,1,0,0,1,0,1,0
T8NLZY31,59,1,0,0,1,0,0,1,1,1,0,0,0
KKOI7341,59,0,1,0,1,0,2,1,0,0,0,0,0
JYRAL341,59,1,0,0,0,1,1,0,0,0,2,0,0
H7B94641,60,1,0,0,1,0,0,1,1,0,0,0,1
XJM9I741,59,0,1,0,1,0,1,2,0,0,0,0,0
EGCII741,59,0,1,0,0,1,1,1,0,0,1,0,0
23OOO741,59,0,0,1,0,1,1,0,1,0,1,0,0
IOUXJ841,59,0,1,0,1,0,1,0,2,0,0,0,0
FZJ3R841,59,0,0,1,1,0,0,0,2,0,1,0,0
XZELZ841,60,0,1,0,1,0,0,1,0,0,1,0,1
28K66941,60,0,0,1,0,1,0,1,1,0,0,0,1
3JCVD941,59,0,0,1,1,0,2,1,0,0,0,0,0
YHVG7B41,59,1,0,0,1,0,1,0,0,1,1,0,0
UIOTLB41,66,1,0,1,1,0,0,1,0,1,1,0,0
ZDG6AC41,60,0,1,0,0,1,0,1,0,1,0,0,1
QH7JDC41,59,0,0,1,1,0,1,1,0,0,1,0,0
4COEMC41,60,1,0,0,0,1,0,1,0,1,0,0,1
HS8IUC41,59,0,0,1,0,1,0,0,0,1,2,0,0
QNDPNE41,59,1,0,0,1,0,2,0,0,1,0,0,0
7GJLEI41,60,0,0,1,0,1,1,0,1,0,0,0,1
15QAZJ41,60,1,0,0,0,1,0,0,1,1,0,0,1
Q438EK41,59,1,0,0,1,0,1,2,0,0,0,0,0
TLVB8M41,59,0,1,0,0,1,0,1,1,1,0,0,0
WGQZBM41,59,0,1,0,0,1,1,0,0,2,0,0,0
E9AXLP41,59,1,0,0,0,1,0,0,2,0,1,0,0
7UWYLP41,59,0,1,0,0,1,0,0,0,2,1,0,0
TE7E6Q41,59,0,1,0,1,0,0,0,1,1,1,0,0
BQEPAU41,60,1,0,0,1,0,0,1,1,0,0,0,1
OA2E2V41,59,0,0,1,1,0,1,0,2,0,0,0,0
VJEJIX41,59,1,0,0,0,1,1,0,0,1,1,0,0
8IVTTX41,59,0,0,1,1,0,0,0,0,2,1,0,0
UJYNGY41,59,1,0,0,1,0,0,0,0,0,3,0,0
UTOV3151,59,1,0,0,0,1,1,1,0,1,0,0,0
BTQGJ851,59,0,1,0,1,0,1,0,0,1,1,0,0
SPJJ6951,59,0,0,1,1,0,1,0,0,2,0,0,0
7VXWG951,60,0,1,0,1,0,0,0,0,2,0,0,1
Q7NIKA51,59,0,0,1,1,0,0,1,1,0,1,0,0
1Z31LA51,60,0,0,1,1,0,0,1,0,0,1,0,1
D2N4DC51,60,1,0,0,0,1,0,1,0,1,0,0,1
GXTOIC51,60,0,0,1,0,1,1,0,0,1,0,0,1
S3Y2EE51,59,0,1,0,0,1,0,0,1,2,0,0,0
2AH7IE51,60,1,0,0,1,0,0,0,1,0,1,0,1
HNSGPH51,60,0,1,0,1,0,0,0,1,1,0,0,1
KTK4RH51,60,0,1,0,0,1,0,0,0,1,1,0,1
WKJSWH51,59,0,0,1,0,1,0,2,0,0,1,0,0
W8FDSI51,59,0,1,0,0,1,1,0,0,0,2,0,0
F28Z2K51,60,0,1,0,0,1,0,0,2,0,0,0,1
TEIH8K51,60,0,1,0,1,0,1,0,0,0,1,0,1
BA7WOM51,59,0,0,1,1,0,1,0,1,0,1,0,0
VVKK3N51,74,0,1,0,1,0,1,1,0,1,1,0,0
VR88ON51,59,1,0,0,0,1,1,0,0,1,1,0,0
UXI7TN51,66,1,0,1,1,0,0,0,1,2,0,0,0
Z12HUO51,59,1,0,0,1,0,1,0,1,0,1,0,0
AARIYP51,59,0,0,1,1,0,0,0,1,0,2,0,0
S1PMZP51,59,1,1,1,1,0,0,1,0,0,0,0,1
97Y77Q51,59,0,1,0,1,0,0,1,1,1,0,0,0
37Q6GQ51,59,0,1,0,1,0,2,0,0,1,0,0,0
